ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
CE39A2DA-C7EA-408B-941C-073807780D1F,AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED,Nikon,Nikon F,18,55,3.5,38,280,
05F02F64-65C5-488B-94B7-AAD1C56478DF,AF-S DX Zoom-Nikkor 18-55mm f/3.5-5.6G ED II,Nikon,Nikon F,18,55,3.5,38,280,
943A2823-8D08-42BE-ABF2-5648E7C6E0D6,AF-S DX Zoom-Nikkor 18-70mm f/3.5-4.5G IF-ED,Nikon,Nikon F,18,70,3.5,29,380,
700BC1CC-36D5-45C7-ADC5-DB88B572269C,AF-S DX Nikkor 18-105mm f/3.5-5.6G ED VR,Nikon,Nikon F,18,105,3.5,38,450,
65A1E257-9395-44FE-9D4A-1C21CE103504,AF-S DX Zoom-Nikkor ED 18-135mm F3.5-5.6G (IF),Nikon,Nikon F,18,135,3.5,38,450,
97FDB7E8-802B-4454-A662-A7ED6E346632,AF-S DX Nikkor 18-140mm f/3.5-5.6G ED VR,Nikon,Nikon F,18,140,3.5,38,450,
89D7B860-472C-4329-818A-F9A3A345F789,AF-S DX Nikkor 18-200mm f/3.5-5.6G ED VR II,Nikon,Nikon F,18,200,3.5,36,500,
11CB5196-20D8-4248-BD0E-050261E2EE7C,AF-S DX VR Zoom-Nikkor 18-200mm f/3.5-5.6G IF-ED,Nikon,Nikon F,18,200,3.5,36,500,
0553687D-6F61-4A30-A7BF-09F8BEDD463B,AF-S DX Nikkor 18-300mm f/3.5-5.6G ED VR,Nikon,Nikon F,18,300,3.5,32,450,
8B8032E0-95DB-4111-B282-E911C01BB54F,AF-S DX Nikkor 18-300mm f/3.5-6.3G ED VR,Nikon,Nikon F,18,300,3.5,40,480,
5CB7960D-4762-4550-9A54-41B6B45123F2,AF-S Nikkor 20mm f/1.8G ED,Nikon,Nikon F,20,20,1.8,16,200,
705FD8EB-23ED-4FDD-8B39-1D2A71DA478E,Ai AF Nikkor 20mm f/2.8D,Nikon,Nikon F,20,20,2.8,22,250,
